date,campaign_id,platform,spend
2026-02-11,ig-spring,Meta,103.63
2026-02-11,tt-spring,TikTok,222.87
2026-02-11,search-brand,Google,46.24
2026-02-12,ig-spring,Meta,40.73
2026-02-12,tt-spring,TikTok,139.39
2026-02-12,search-brand,Google,69.78
2026-02-13,ig-spring,Meta,140.00
2026-02-13,tt-spring,TikTok,102.79
2026-02-13,search-brand,Google,203.41
2026-02-14,ig-spring,Meta,204.95
2026-02-14,tt-spring,TikTok,97.17
2026-02-14,search-brand,Google,214.70
2026-02-15,ig-spring,Meta,172.97
2026-02-15,tt-spring,TikTok,77.73
2026-02-15,search-brand,Google,302.25
2026-02-16,ig-spring,Meta,108.20
2026-02-16,tt-spring,TikTok,81.81
2026-02-16,search-brand,Google,66.83
